REGION,COUNCIL,WARD,SCHOOL NAME,SCHOOL OWNERSHIP,SCHOOL REG. NUMBER,< 12 years-M,< 12 years-F,12 years-M,12 years-F,13 years-M,13 years-F,14 years-M,14 years-F,15 years-M,15 years-F,16 years-M,16 years-F,17 years-M,17 years-F,18 years-M,18 years-F,19 years-M,19 years-F,> 19 years-M,> 19 years-F,Total-M,Total-F,Total Teachers-Male,Total Teachers-Female,Qualified Teachers-Male,Qualified Teachers-Female,PTR,PQTR
ARUSHA,ARUSHA,BANGATA,BANG'ATA,GOVERNMENT,S.906,0,0,0,0,11,22,49,84,56,68,48,63,27,16,5,1,0,0,0,0,196,254,19,8,19,8,17,17
ARUSHA,ARUSHA,BANGATA,SAKURA,NON-GOVERNMENT,S.4920,0,0,0,15,0,35,0,29,0,18,0,28,0,25,0,11,0,3,0,1,0,165,7,5,7,5,14,14
ARUSHA,ARUSHA,BWAWANI,OLOKII,GOVERNMENT,S.2499,0,0,0,1,14,13,35,64,46,91,50,97,41,89,35,30,31,1,2,0,254,386,10,7,10,7,38,38
ARUSHA,ARUSHA,ILKIDING'A,ILKIDING'A,GOVERNMENT,S.732,0,0,2,6,10,40,87,136,119,149,93,153,90,114,52,47,13,4,5,0,471,649,22,32,22,32,21,21
ARUSHA,ARUSHA,KIMNYAKI,KIMNYAKI,GOVERNMENT,S.541,0,0,0,1,14,36,34,51,68,96,90,102,76,103,50,50,30,37,16,10,378,486,19,16,19,16,25,25
ARUSHA,ARUSHA,KIRANYI,NGATEU,NON-GOVERNMENT,S.799,0,0,0,0,0,1,5,5,1,4,8,6,6,10,5,3,6,4,3,1,34,34,5,4,5,4,8,8
ARUSHA,ARUSHA,KIRANYI,TRUST PATRICK,NON-GOVERNMENT,S.1835,0,0,0,0,15,0,29,0,25,0,21,0,36,0,21,0,20,0,33,0,200,0,12,6,12,6,11,11
ARUSHA,ARUSHA,KIRANYI,WINNING SPIRIT,NON-GOVERNMENT,S.3560,0,0,0,0,1,1,3,9,5,4,8,15,16,7,11,9,20,9,61,24,125,78,20,6,20,6,8,8
ARUSHA,ARUSHA,KISONGO,EINOTI,GOVERNMENT,S.647,0,0,7,8,34,45,39,75,52,93,34,71,57,90,17,31,4,2,3,1,247,416,23,27,23,26,13,14
ARUSHA,ARUSHA,KISONGO,ELITE,NON-GOVERNMENT,S.3577,0,0,0,0,0,0,0,2,5,8,7,2,8,2,1,0,1,0,0,0,22,14,5,2,5,2,5,5
ARUSHA,ARUSHA,KISONGO,NEW LIFE,NON-GOVERNMENT,S.3975,0,0,0,0,0,0,1,4,4,9,7,11,6,10,4,3,1,3,1,2,24,42,9,3,9,3,6,6
ARUSHA,ARUSHA,KISONGO,ST. THADEUS,NON-GOVERNMENT,S.4418,0,0,0,0,3,5,27,19,15,15,33,23,23,12,10,7,6,2,6,1,123,84,12,3,12,3,14,14
ARUSHA,ARUSHA,KISONGO,ST. THERESA OF THE CHILD JESUS,NON-GOVERNMENT,S.3861,0,0,0,26,0,53,0,85,0,84,0,70,0,32,0,19,0,18,0,38,0,425,21,4,21,4,17,17
ARUSHA,ARUSHA,KISONGO,YAKINI,NON-GOVERNMENT,s.4968,0,0,0,0,2,2,7,6,8,24,6,6,12,3,6,1,3,0,1,0,45,42,6,3,6,3,10,10
ARUSHA,ARUSHA,LAROI,OLJORO,GOVERNMENT,S.802,0,0,0,6,2,9,21,25,23,42,22,44,35,44,24,14,17,16,23,9,167,209,17,7,17,7,16,16
ARUSHA,ARUSHA,LEMANYATA,CORNERSTONE LEADERSHIP,NON-GOVERNMENT,S.4472,0,0,0,0,0,0,0,0,0,0,0,,0,0,2,7,13,18,35,20,50,45,10,1,10,1,9,9
ARUSHA,ARUSHA,MATEVES,ASSALAF ISLAMIC,NON-GOVERNMENT,S.4883,0,0,0,0,0,0,0,0,21,13,20,21,2,0,23,16,25,34,0,0,91,84,7,3,7,3,18,18
ARUSHA,ARUSHA,MATEVES,MATEVES,GOVERNMENT,S.1926,0,0,0,0,2,3,24,32,47,69,58,63,62,52,24,9,27,15,6,1,250,244,19,37,19,37,9,9
ARUSHA,ARUSHA,MATEVES,ST.JOSEPH NGARENARO (GIRLS),NON-GOVERNMENT,S.224,0,0,0,3,0,31,0,39,0,52,0,49,0,21,0,18,0,11,0,5,0,229,12,6,12,6,13,13
ARUSHA,ARUSHA,MLANGARINI,D'ALZON GIRLS,NON-GOVERNMENT,S.4100,0,0,0,4,0,14,0,35,0,44,0,41,0,18,0,2,0,1,0,0,0,159,8,4,8,4,13,13
ARUSHA,ARUSHA,MLANGARINI,MLANGARINI,GOVERNMENT,S.1040,0,0,0,1,33,39,79,176,154,168,200,153,77,126,14,36,3,30,0,60,560,789,25,19,25,19,31,31
ARUSHA,ARUSHA,MLANGARINI,MWEDO,NON-GOVERNMENT,S.4420,0,0,0,0,0,9,0,25,0,58,0,59,0,17,0,11,0,11,0,2,0,192,6,5,6,5,17,17
ARUSHA,ARUSHA,MLANGARINI,SHEPHERDS,NON-GOVERNMENT,S.4601,0,0,1,2,3,6,9,15,8,18,27,9,11,8,7,2,2,0,0,2,68,62,7,0,7,0,19,19
ARUSHA,ARUSHA,MOIVO,BISHOP DURNING,NON-GOVERNMENT,S.1676,0,0,0,0,0,0,4,6,7,12,15,14,23,21,34,38,60,29,86,11,229,131,21,4,21,4,14,14
ARUSHA,ARUSHA,MOIVO,ENABOISHU,NON-GOVERNMENT,S.81,1,0,2,0,6,12,15,23,25,24,34,61,34,41,36,32,41,60,146,77,340,330,22,7,22,7,23,23
ARUSHA,ARUSHA,MOIVO,ILBORU,GOVERNMENT,S.24,1,0,0,0,18,0,61,0,85,0,124,0,91,0,96,0,140,0,199,0,815,0,38,36,38,36,11,11
ARUSHA,ARUSHA,MUSA,MUSA,GOVERNMENT,S.2501,0,0,0,0,1,2,5,19,18,51,32,71,44,42,27,23,34,14,13,4,174,226,19,2,19,2,19,19
ARUSHA,ARUSHA,MWANDET,LOSIKITO,GOVERNMENT,S.5110,0,0,0,0,0,0,4,11,20,26,23,24,16,9,1,1,1,0,0,0,65,71,10,2,10,2,11,11
ARUSHA,ARUSHA,MWANDET,MWANDET,GOVERNMENT,S.1268,0,0,0,0,10,20,52,90,95,131,109,202,128,137,87,134,11,36,0,9,492,759,31,14,31,14,28,28
ARUSHA,ARUSHA,NDURUMA,NDURUMA,GOVERNMENT,S.679,0,0,0,0,9,20,37,86,44,76,65,80,46,37,27,11,9,0,1,0,238,310,12,14,12,14,21,21
ARUSHA,ARUSHA,NDURUMA,OLE MEDEYE,GOVERNMENT,S.4569,0,0,0,0,10,20,36,56,64,88,42,46,7,13,0,0,0,0,0,0,159,223,11,5,11,5,24,24
ARUSHA,ARUSHA,OLDONYOSAMBU,OLDONYO SAMBU,GOVERNMENT,S.649,0,0,0,0,0,2,7,18,45,74,49,91,72,91,63,57,43,43,14,13,293,389,19,8,19,8,25,25
ARUSHA,ARUSHA,OLDONYOWASS,ARUSHA CATHOLIC SEMINARY,NON-GOVERNMENT,S.204,0,0,0,0,5,0,29,0,56,0,64,0,35,0,15,0,4,0,0,0,208,0,10,0,10,0,21,21
ARUSHA,ARUSHA,OLDONYOWASS,OLDONYOWAS,GOVERNMENT,S.5111,0,0,0,2,1,3,9,25,14,42,26,19,16,2,2,1,0,0,1,0,69,94,5,5,5,5,16,16
ARUSHA,ARUSHA,OLJORO,ENDEVES,GOVERNMENT,S.2809,0,0,0,0,8,29,7,34,29,48,27,22,33,36,7,15,4,4,0,0,115,188,15,7,15,7,14,14
ARUSHA,ARUSHA,OLKOKOLA,LENGIJAVE,GOVERNMENT,S.4609,0,0,0,0,0,1,3,26,8,40,19,66,28,70,30,26,37,4,27,0,152,233,15,14,15,14,13,13
ARUSHA,ARUSHA,OLKOKOLA,MUKULAT,GOVERNMENT,S.542,0,0,2,5,43,48,41,50,20,83,54,134,44,120,36,37,31,34,21,7,292,518,16,17,16,17,25,25
ARUSHA,ARUSHA,OLMOTONYI,OLMOTONYI FOREST,GOVERNMENT,S.4700,0,0,0,0,14,33,47,110,53,158,51,118,54,71,34,22,12,5,7,4,272,521,13,20,13,20,24,24
ARUSHA,ARUSHA,OLORIEN,KILIMANJARO ISLAMIC,NON-GOVERNMENT,S.4541,0,0,0,90,0,70,0,27,0,168,0,69,0,8,0,0,0,0,0,0,0,432,17,12,17,12,15,15
ARUSHA,ARUSHA,OLORIEN,KIRANYI,GOVERNMENT,S.1791,0,0,3,8,28,65,87,127,134,175,169,186,135,117,56,36,16,7,6,0,634,721,23,38,23,38,22,22
ARUSHA,ARUSHA,OLORIEN,MRINGA,GOVERNMENT,S.329,0,0,0,3,39,88,65,159,108,187,137,235,114,148,55,112,22,130,1,62,541,1124,33,49,33,49,20,20
ARUSHA,ARUSHA,OLORIEN,NEWLIFE OLOSIVA,NON-GOVERNMENT,S.4784,0,0,1,3,4,15,18,24,16,13,20,27,14,24,9,4,3,1,0,0,85,111,12,3,12,3,13,13
ARUSHA,ARUSHA,OLTUROTO,EKENYWA,NON-GOVERNMENT,S.310,0,0,1,0,1,1,3,2,5,11,9,6,12,16,10,11,4,7,0,0,45,54,5,3,5,3,12,12
ARUSHA,ARUSHA,OLTUROTO,ENYOITO,GOVERNMENT,s.920,0,5,23,44,85,121,90,121,115,149,126,185,123,127,67,19,16,1,0,0,645,772,25,35,25,35,24,24
ARUSHA,ARUSHA,OLTURUMET,OLTRUMET,GOVERNMENT,S.2502,0,0,0,4,4,12,33,28,35,32,31,40,32,13,30,20,13,7,0,0,178,156,9,9,9,9,19,19
ARUSHA,ARUSHA,OLTURUMET,OSILIGI,GOVERNMENT,S.3429,0,0,0,0,8,16,12,20,20,25,29,35,22,37,19,18,14,19,20,6,144,176,13,19,13,19,10,10
ARUSHA,ARUSHA,OLTURUMET,SOS HGS,NON-GOVERNMENT,S.1398,0,0,2,2,1,3,10,4,13,7,10,10,11,8,10,2,1,0,1,0,59,36,5,5,5,5,10,10
ARUSHA,ARUSHA,SAMBASHA,SAMBASHA,GOVERNMENT,S.4774,0,0,0,0,4,8,12,59,25,36,34,38,44,60,28,31,11,25,9,2,167,259,11,7,11,7,24,24
ARUSHA,ARUSHA,SAMBASHA,TIMBOLO BAPTIST,NON-GOVERNMENT,S.4427,0,0,0,0,0,0,0,1,1,4,3,2,5,12,5,5,7,10,3,2,24,36,7,1,7,1,8,8
ARUSHA,ARUSHA,SOKON II,NG'IRESI,GOVERNMENT,S.2808,0,0,0,2,29,44,38,48,43,60,31,26,27,45,9,16,5,0,3,0,185,241,10,14,10,14,18,18
ARUSHA,ARUSHA,SOKON II,OLDADAI,GOVERNMENT,S.333,0,0,0,0,8,22,45,69,78,65,85,105,82,96,37,17,17,12,2,0,354,386,20,28,20,28,15,15
ARUSHA,ARUSHA,SOKON II,SOKONI II,GOVERNMENT,S.4854,0,0,2,17,39,74,89,122,90,124,134,161,68,56,24,9,3,1,0,0,449,564,16,30,16,30,22,22
ARUSHA,ARUSHA CC,BARAA,BARAA,GOVERNMENT,S.1104,0,2,8,9,52,95,127,172,113,122,67,75,80,58,37,15,9,3,1,1,494,552,21,22,18,21,24,27
ARUSHA,ARUSHA CC,BARAA,SORENYI,GOVERNMENT,S.3680,0,0,3,6,21,30,64,114,93,123,77,103,72,60,24,12,12,5,0,0,366,453,14,15,14,15,28,28
ARUSHA,ARUSHA CC,DARAJA II,ARUSHA GIRLS ISLAMIC,NON-GOVERNMENT,S.4469,0,0,0,0,0,3,0,26,0,26,0,41,0,47,0,20,0,2,0,0,0,165,11,3,11,3,12,12
ARUSHA,ARUSHA CC,DARAJA II,FELIX MREMA,GOVERNMENT,S.4168,0,0,1,1,41,41,70,118,153,140,144,168,131,113,41,19,15,4,0,0,596,604,24,21,24,21,27,27
ARUSHA,ARUSHA CC,ELERAI,ELERAI,GOVERNMENT,S.2018,0,0,0,4,31,59,127,134,131,190,164,191,192,145,80,22,14,4,1,1,740,750,26,27,26,27,28,28
ARUSHA,ARUSHA CC,ENGUTOTO,EL-SHAMMAH,NON-GOVERNMENT,S.4786,0,0,0,0,5,7,3,2,3,5,2,3,2,2,2,0,0,1,1,0,18,20,4,6,4,6,4,4
ARUSHA,ARUSHA CC,ENGUTOTO,KORONA,GOVERNMENT,S.4415,0,0,0,0,0,0,0,0,0,0,0,,0,0,4,0,6,0,26,0,36,0,8,1,8,1,4,4
ARUSHA,ARUSHA CC,ENGUTOTO,NJIRO,GOVERNMENT,S.2624,0,0,1,2,23,53,76,74,67,74,70,41,46,49,13,20,5,1,1,0,302,314,15,16,15,16,20,20
ARUSHA,ARUSHA CC,KALOLENI,KALOLENI,GOVERNMENT,S.791,0,0,1,6,21,28,87,104,97,141,110,128,98,72,28,6,1,0,2,0,445,485,12,38,12,38,19,19
ARUSHA,ARUSHA CC,KATI,ARUSHA,GOVERNMENT,S.35,0,0,3,3,35,66,103,87,101,123,209,130,139,144,100,130,45,80,60,40,795,803,30,49,30,49,20,20
ARUSHA,ARUSHA CC,KATI,BONDENI,NON-GOVERNMENT,S.408,0,0,0,0,0,1,7,11,6,12,7,25,12,18,19,16,16,12,22,10,89,105,12,3,12,3,13,13
ARUSHA,ARUSHA CC,KIMANDOLU,BRAINY HEROES BOYS,NON-GOVERNMENT,S.2147,0,0,1,0,16,0,17,0,24,0,45,0,21,0,5,0,2,0,0,0,131,0,6,2,6,2,16,16
ARUSHA,ARUSHA CC,KIMANDOLU,KIMANDOLU,NON-GOVERNMENT,S.466,0,0,0,0,1,1,3,6,13,11,18,27,24,43,4,9,0,0,0,0,63,97,8,6,8,6,11,11
ARUSHA,ARUSHA CC,KIMANDOLU,KIMASEKI,GOVERNMENT,S.1841,0,0,0,0,24,29,209,186,208,232,128,143,110,64,33,22,12,6,2,2,726,684,23,36,23,36,24,24
ARUSHA,ARUSHA CC,KIMANDOLU,SUYE,GOVERNMENT,S.4557,0,0,4,0,44,95,226,252,133,171,176,145,96,44,27,21,20,0,9,0,735,728,24,26,24,26,29,29
ARUSHA,ARUSHA CC,LEMARA,LEMARA,GOVERNMENT,S.1284,0,0,2,4,10,33,80,84,104,165,126,155,152,120,43,16,10,2,1,0,528,579,14,25,14,25,28,28
ARUSHA,ARUSHA CC,LEMARA,NAURA,GOVERNMENT,S.3838,0,0,0,0,43,47,93,149,92,119,107,73,72,31,25,1,6,0,0,0,438,420,10,25,10,25,25,25
ARUSHA,ARUSHA CC,LEMARA,NOTREDAME,NON-GOVERNMENT,S.3733,0,0,0,13,0,47,0,59,0,73,0,59,0,35,0,6,0,0,0,1,0,293,15,6,15,6,14,14
ARUSHA,ARUSHA CC,LEMARA,RENEA,NON-GOVERNMENT,S.4807,0,0,1,0,1,0,13,0,26,0,26,0,35,0,10,0,12,0,5,0,129,0,8,0,6,0,16,22
ARUSHA,ARUSHA CC,LEVOLOSI,ARUSHA MERU,NON-GOVERNMENT,S.66,0,0,18,6,3,2,8,10,3,2,13,11,9,7,15,7,1,0,0,0,70,45,14,4,14,4,6,6
ARUSHA,ARUSHA CC,LEVOLOSI,MARANATHA MISSION SEMINARY,NON-GOVERNMENT,S.4888,0,0,1,1,3,4,11,11,4,4,3,2,5,4,0,0,0,0,0,0,27,26,5,4,4,4,6,7
ARUSHA,ARUSHA CC,MOIVARO,MOIVARO,GOVERNMENT,S.5104,0,0,0,0,3,17,17,52,21,32,10,5,2,0,0,0,0,0,0,0,53,106,3,7,3,7,16,16
ARUSHA,ARUSHA CC,MOSHONO,ADILI,NON-GOVERNMENT,S.4544,0,0,1,1,10,0,28,2,45,1,41,1,31,2,9,2,12,0,12,0,189,9,10,5,10,5,13,13
ARUSHA,ARUSHA CC,MOSHONO,ARUSHA MODERN,NON-GOVERNMENT,S.979,0,0,0,0,2,3,13,4,9,9,6,13,9,6,9,8,14,5,22,5,84,53,18,4,18,4,6,6
ARUSHA,ARUSHA CC,MOSHONO,CHARLES DE FOUCAULD,NON-GOVERNMENT,S.4523,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,8,1,2,2,2,2,2,2
ARUSHA,ARUSHA CC,MOSHONO,LOSIRWAY,GOVERNMENT,S.4555,0,0,0,0,5,14,23,36,44,50,68,54,28,30,14,11,5,1,2,0,189,196,8,14,8,14,18,18
ARUSHA,ARUSHA CC,MOSHONO,MOSHONO,GOVERNMENT,S.1089,0,0,1,0,3,17,36,71,73,88,92,96,93,95,52,30,19,4,8,0,377,401,11,32,8,31,18,20
ARUSHA,ARUSHA CC,MOSHONO,ST. MONICA MOSHONO GIRLS,NON-GOVERNMENT,S.4898,0,1,0,14,0,71,0,88,0,67,0,46,0,11,0,0,0,0,0,0,0,298,12,6,12,6,17,17
ARUSHA,ARUSHA CC,MURIET, ARUSHA TERRAT,GOVERNMENT,S.5103,0,0,0,2,7,12,39,56,34,34,20,16,1,0,1,0,1,0,0,0,103,120,5,9,5,9,16,16
ARUSHA,ARUSHA CC,MURIET,CHETI,NON-GOVERNMENT,S.5071,0,0,0,0,1,2,10,10,5,10,9,3,2,3,1,0,1,0,0,0,29,28,6,0,6,0,10,10
ARUSHA,ARUSHA CC,MURIET,HADY,NON-GOVERNMENT,S.4821,0,0,0,1,7,6,7,9,13,16,17,9,13,10,0,0,0,0,0,0,57,51,6,2,6,2,14,14
ARUSHA,ARUSHA CC,MURIET,HEAL SUN,NON-GOVERNMENT,S.5023,0,0,0,0,1,1,6,2,0,0,3,4,2,3,1,0,1,0,0,0,14,10,2,1,2,1,8,8
ARUSHA,ARUSHA CC,MURIET,KINANA,GOVERNMENT,S.1105,0,0,0,3,19,52,43,110,46,139,36,107,77,69,34,24,11,8,0,0,266,512,16,4,16,4,39,39
ARUSHA,ARUSHA CC,MURIET,MURIET SPRING,NON-GOVERNMENT,S.4676,0,0,0,0,0,2,0,1,2,3,1,7,7,1,0,5,1,0,1,1,12,20,4,4,4,4,4,4
ARUSHA,ARUSHA CC,NGARENARO,ENGARENAROK,NON-GOVERNMENT,S.3563,0,0,0,0,0,1,2,3,7,15,5,13,16,15,6,7,3,3,3,2,42,59,4,3,4,3,14,14
ARUSHA,ARUSHA CC,NGARENARO,NGARENARO,GOVERNMENT,S.2623,0,0,2,8,56,148,222,256,237,241,173,183,167,138,97,36,30,6,3,0,987,1016,20,36,20,36,36,36
ARUSHA,ARUSHA CC,OLASITI,ARUSHA CITY BOYS,NON-GOVERNMENT,S.4627,0,0,0,0,6,0,18,0,31,0,23,0,25,0,14,0,2,0,0,0,119,0,9,4,9,4,9,9
ARUSHA,ARUSHA CC,OLASITI,ARUSHA GIRLS,GOVERNMENT,S.4801,0,0,0,0,0,0,0,0,0,0,0,,0,12,0,112,0,68,0,18,0,210,11,3,11,3,15,15
ARUSHA,ARUSHA CC,OLASITI,OLASITI,GOVERNMENT,S.4556,0,0,0,4,33,105,132,194,142,175,153,143,119,103,30,13,8,3,3,1,620,741,17,20,17,20,37,37
ARUSHA,ARUSHA CC,OLASITI,PEACE HOUSE,NON-GOVERNMENT,S.3886,0,0,0,0,12,4,25,22,40,50,48,48,45,48,37,22,28,19,45,22,280,235,18,7,18,7,21,21
ARUSHA,ARUSHA CC,OLMOTI,OLMOTI,GOVERNMENT,S.4929,0,0,2,4,17,40,33,77,39,71,66,69,59,59,26,24,28,17,3,2,273,363,9,9,9,9,35,35
ARUSHA,ARUSHA CC,OLOIRIEN,OLORIENI,GOVERNMENT,S.1843,0,0,0,0,40,36,111,136,115,82,85,114,89,97,31,15,14,5,2,0,487,485,15,23,15,23,26,26
ARUSHA,ARUSHA CC,OSUNYAI JR,SOMBETINI,GOVERNMENT,S.3659,0,1,3,3,52,102,158,167,175,126,163,187,150,132,44,14,12,2,2,0,759,734,13,33,13,33,32,32
ARUSHA,ARUSHA CC,SAKINA,SAKINA,NON-GOVERNMENT,S.2380,0,0,0,0,0,5,0,25,0,22,0,22,0,10,0,4,0,1,0,0,0,89,8,2,8,2,9,9
ARUSHA,ARUSHA CC,SEKEI,PRIME,NON-GOVERNMENT,S.2392,0,0,2,1,5,1,4,6,10,10,12,3,12,8,2,0,1,1,1,0,49,30,4,6,4,6,8,8
ARUSHA,ARUSHA CC,SINONI,ARUSHA BOYS ISLAMIC,NON-GOVERNMENT,S.4463,0,0,0,0,8,0,34,0,28,0,30,0,28,0,11,0,5,0,2,0,146,0,10,0,10,0,15,15
ARUSHA,ARUSHA CC,SINONI,EDMUND RICE SINON,NON-GOVERNMENT,S.405,0,0,0,0,15,24,43,55,98,73,147,61,78,56,109,47,140,85,112,36,742,437,51,13,47,11,18,20
ARUSHA,ARUSHA CC,SINONI,SINON,GOVERNMENT,S.955,0,0,0,1,13,32,124,173,129,208,194,213,188,241,92,71,60,28,26,6,826,973,31,27,31,27,31,31
ARUSHA,ARUSHA CC,SOKONI I,MURIET,GOVERNMENT,S.4414,0,0,0,1,6,7,55,80,126,218,188,223,152,143,81,36,19,6,3,1,630,715,23,29,23,29,26,26
ARUSHA,ARUSHA CC,SOKONI I,NAKIDO,NON-GOVERNMENT,S.4782,0,0,0,0,9,6,10,21,15,10,5,11,22,21,15,8,3,2,0,0,79,79,16,2,16,2,9,9
ARUSHA,ARUSHA CC,TERRAT,INTEL,NON-GOVERNMENT,S.4960,0,0,1,1,3,5,12,8,12,18,17,18,8,14,3,2,5,2,2,0,63,68,6,2,6,2,16,16
ARUSHA,ARUSHA CC,TERRAT,MKONOO,GOVERNMENT,S.4783,0,0,0,0,3,4,38,38,19,65,55,75,36,45,37,19,18,0,4,0,210,246,10,5,10,5,30,30
ARUSHA,ARUSHA CC,TERRAT,NYAHIRI,NON-GOVERNMENT,S.5014,0,0,1,0,3,4,3,6,6,4,1,5,0,1,0,0,0,0,0,0,14,20,5,1,5,1,6,6
ARUSHA,ARUSHA CC,THEMI,ARUSHA DAY,GOVERNMENT,S.422,0,1,2,10,25,27,75,95,90,121,101,123,87,47,32,7,4,0,4,0,420,431,11,30,11,30,21,21
ARUSHA,ARUSHA CC,THEMI,RENEA GIRLS',NON-GOVERNMENT,S.4229,0,0,0,3,0,21,0,21,0,36,0,43,0,13,0,22,0,4,0,0,0,163,8,2,8,2,16,16
ARUSHA,ARUSHA CC,THEMI,THEMI,GOVERNMENT,S.2622,0,0,4,14,60,109,183,223,208,223,152,149,112,88,48,13,14,1,3,1,784,821,21,32,20,32,30,31
ARUSHA,KARATU,BARAY,BARAY,GOVERNMENT,S.2494,0,0,1,1,2,12,25,39,33,53,53,35,31,32,19,8,4,1,1,0,169,181,12,3,12,3,23,23
ARUSHA,KARATU,BARAY,QANGDEND,GOVERNMENT,S.3757,0,0,0,0,20,5,15,23,29,37,65,42,16,8,1,8,0,1,0,0,146,124,10,2,10,2,23,23
ARUSHA,KARATU,BUGER,MARANG,GOVERNMENT,S.2814,0,0,0,0,1,1,12,24,15,32,21,36,14,20,7,7,6,3,0,0,76,123,13,0,13,0,15,15
ARUSHA,KARATU,BUGER,ORBOSHAN,GOVERNMENT,S.2815,0,0,0,0,2,3,16,13,5,22,12,15,17,6,8,6,3,3,3,4,66,72,7,0,7,0,20,20
ARUSHA,KARATU,DAA,CHAENDA,GOVERNMENT,S.2845,0,0,0,0,2,10,21,33,43,60,38,52,40,35,24,7,7,4,0,0,175,201,12,2,12,2,27,27
ARUSHA,KARATU,ENDABASH,ENDABASH,GOVERNMENT,S.1536,0,0,0,0,4,34,35,61,35,58,39,48,21,49,9,35,5,14,2,9,150,308,17,5,17,5,21,21
ARUSHA,KARATU,ENDABASH,QARU,GOVERNMENT,S.3657,0,0,0,0,3,3,7,28,27,22,36,68,16,37,24,10,6,3,0,0,119,171,12,3,12,3,19,19
ARUSHA,KARATU,ENDAMARARIEK,BARAY KHUSMAYI,GOVERNMENT,S.5131,0,0,0,2,0,10,7,20,2,28,2,9,0,0,0,0,0,0,0,0,11,69,3,1,3,1,20,20
